id,host_since,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,host_days_active,time_since_first_review,time_since_last_review
958,2008-07-31,within a few hours,100%,1,1,1,1,Western Addition,Apartment,Entire home/apt,3,1,1.0,2.0,$170.00 ,1,30,1,3,7,92,192,2009-07-23,97.0,10.0,10.0,10.0,10.0,10.0,9.0,STR-0001256,1,1,1,0,0,3958.0,4+ years,0-2 weeks
7918,2009-06-17,within a few hours,100%,0,10,10,1,Haight Ashbury,Apartment,Private room,2,4,1.0,1.0,$65.00 ,32,60,30,60,90,365,17,2009-08-31,85.0,8.0,8.0,9.0,9.0,9.0,8.0,,0,9,0,9,0,3637.0,4+ years,6-12 months
8142,2009-06-17,within a few hours,100%,0,10,10,1,Haight Ashbury,Apartment,Private room,2,4,1.0,1.0,$65.00 ,32,90,11,41,71,346,8,2014-09-08,93.0,9.0,9.0,10.0,10.0,9.0,9.0,,0,9,0,9,0,3637.0,4+ years,2-6 months
8339,2009-07-02,within an hour,100%,0,2,2,1,Western Addition,House,Entire home/apt,5,1.5,2.0,2.0,$685.00 ,4,1125,30,60,90,90,27,2009-09-25,97.0,10.0,10.0,10.0,10.0,10.0,9.0,STR-0000264,0,2,2,0,0,3622.0,4+ years,2-6 months
8739,2009-01-27,within an hour,100%,1,2,2,0,Mission,Apartment,Private room,3,1,1.0,2.0,$139.00 ,1,14,11,38,64,153,672,2009-08-01,98.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0000028,1,2,0,2,0,3778.0,4+ years,0-2 weeks
9225,2009-08-04,within an hour,100%,1,1,1,1,Potrero Hill,House,Private room,2,1,1.0,1.0,$135.00 ,1,365,9,30,50,321,476,2009-10-26,94.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0000179,0,1,0,1,0,3589.0,4+ years,0-2 weeks
10820,2009-09-15,within a few hours,100%,0,43,43,1,Haight Ashbury,Apartment,Entire home/apt,3,1,3.0,3.0,$177.00 ,30,1125,0,1,31,306,37,2009-10-22,89.0,9.0,9.0,10.0,9.0,9.0,9.0,,0,39,39,0,0,3547.0,4+ years,2-6 months
10824,2009-09-15,within a few hours,100%,0,43,43,1,Western Addition,Apartment,Entire home/apt,5,2,3.0,3.0,$194.00 ,30,1125,0,0,13,288,14,2012-03-01,91.0,10.0,10.0,10.0,9.0,10.0,9.0,,0,39,39,0,0,3547.0,4+ years,2-6 months
10832,2009-09-15,within a few hours,100%,0,43,43,1,Downtown/Civic Center,Apartment,Entire home/apt,2,1.5,1.0,1.0,$139.00 ,30,365,0,0,0,244,19,2013-02-10,92.0,10.0,9.0,10.0,10.0,10.0,9.0,,0,39,39,0,0,3547.0,4+ years,2-8 weeks
12041,2009-06-17,within a few hours,100%,0,10,10,1,Haight Ashbury,Apartment,Private room,2,4,1.0,2.0,$85.00 ,32,60,30,60,90,365,6,2011-09-18,80.0,9.0,8.0,9.0,10.0,9.0,7.0,,0,9,0,9,0,3637.0,4+ years,2-6 months
12042,2009-06-17,within a few hours,100%,0,10,10,1,Haight Ashbury,Apartment,Private room,2,3,1.0,2.0,$85.00 ,32,90,30,60,90,365,5,2013-05-06,64.0,6.0,6.0,10.0,9.0,9.0,8.0,,0,9,0,9,0,3637.0,4+ years,6-12 months
12522,2009-05-22,within an hour,100%,1,1,1,1,Castro/Upper Market,Apartment,Private room,1,1,1.0,1.0,$79.00 ,3,27,4,7,15,15,398,2010-01-14,98.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0000057,1,1,0,1,0,3663.0,4+ years,0-2 weeks
12584,2009-10-29,within a few hours,100%,1,1,1,1,Inner Sunset,House,Entire home/apt,3,1,2.0,3.0,$166.00 ,30,367,0,0,0,269,16,2012-10-14,95.0,9.0,9.0,9.0,9.0,9.0,9.0,,0,1,1,0,0,3503.0,4+ years,2-6 months
14125,2009-11-18,within a day,100%,0,1,1,1,Mission,Apartment,Entire home/apt,3,1,1.0,2.0,$215.00 ,3,10,5,13,27,273,108,2010-01-18,97.0,10.0,9.0,10.0,10.0,10.0,9.0,STR-0000908,0,1,1,0,0,3483.0,4+ years,0-2 weeks
17132,2009-10-04,within a day,100%,0,3,3,1,South of Market,Apartment,Entire home/apt,4,2,2.0,2.0,$450.00 ,60,365,0,0,14,289,14,2010-12-11,96.0,10.0,10.0,10.0,10.0,10.0,9.0,,0,1,1,0,0,3528.0,4+ years,6-12 months
18904,2010-01-21,within a few hours,100%,1,3,3,1,Western Addition,House,Private room,2,1,1.0,1.0,$110.00 ,3,29,11,27,51,51,373,2011-12-05,97.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0000094,0,2,0,2,0,3419.0,4+ years,0-2 weeks
21334,2010-02-15,within an hour,100%,1,1,1,1,Nob Hill,Other,Entire home/apt,2,1,1.0,1.0,$125.00 ,30,30,12,42,72,325,119,2010-05-13,98.0,10.0,10.0,10.0,10.0,10.0,10.0,City registration pending,0,1,1,0,0,3394.0,4+ years,2-8 weeks
21914,2009-06-17,within a few hours,100%,0,10,10,1,Haight Ashbury,Apartment,Private room,2,4,1.0,1.0,$65.00 ,32,90,4,4,29,304,14,2011-09-18,78.0,8.0,8.0,10.0,10.0,10.0,7.0,,0,9,0,9,0,3637.0,4+ years,6-12 months
23611,2009-05-25,within an hour,100%,1,3,3,1,Bernal Heights,Apartment,Private room,1,0.5,1.0,1.0,$100.00 ,3,29,24,54,84,359,241,2010-04-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0000557,1,2,1,1,0,3660.0,4+ years,0-2 weeks
23630,2010-03-14,within an hour,100%,1,1,1,1,Castro/Upper Market,House,Entire home/apt,2,1,1.0,1.0,$155.00 ,3,14,1,4,10,226,366,2010-06-16,97.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0000205,0,1,1,0,0,3367.0,4+ years,0-2 weeks
24450,2010-03-25,within an hour,100%,1,1,1,0,Noe Valley,Apartment,Entire home/apt,3,1,1.0,2.0,$180.00 ,3,28,3,4,11,52,229,2010-04-26,92.0,10.0,9.0,10.0,10.0,10.0,9.0,STR-0000435,0,1,1,0,0,3356.0,4+ years,0-2 weeks
24463,2010-03-26,within an hour,100%,1,2,2,1,Potrero Hill,Apartment,Private room,2,1,1.0,1.0,$155.00 ,2,29,7,34,64,145,278,2010-05-31,97.0,10.0,10.0,10.0,10.0,10.0,9.0,STR-0000036,0,2,1,1,0,3355.0,4+ years,0-2 weeks
24723,2010-03-29,within an hour,90-99%,1,2,2,1,Western Addition,House,Entire home/apt,4,1,1.0,2.0,$195.00 ,5,31,3,9,18,39,291,2010-04-09,96.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0001221,1,2,2,0,0,3352.0,4+ years,0-2 weeks
25094,2010-04-04,within a few hours,100%,1,1,1,1,Noe Valley,House,Private room,2,1,1.0,1.0,$150.00 ,5,28,19,48,78,353,29,2016-06-21,99.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0002528,0,1,0,1,0,3346.0,2-3 years,0-2 weeks
25463,2010-01-21,within a few hours,100%,1,3,3,1,Western Addition,House,Private room,2,1,1.0,1.0,$110.00 ,3,29,0,17,39,39,409,2010-10-26,98.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0000094,0,2,0,2,0,3419.0,4+ years,0-2 weeks
25662,2010-04-09,within a few hours,100%,1,1,1,1,Potrero Hill,House,Private room,3,1,0.0,1.0,$125.00 ,4,180,4,26,43,297,300,2010-07-17,95.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0000019,0,1,0,1,0,3341.0,4+ years,0-2 weeks
