id,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price
7918,Apartment,Private room,2,4,1,1,65
8142,Apartment,Private room,2,4,1,1,65
8339,House,Entire home/apt,5,1.5,2,2,685
8739,Other,Private room,3,1,1,2,139
9225,House,Private room,2,1,1,1,135
10820,Apartment,Entire home/apt,3,1,3,3,177
10824,Apartment,Entire home/apt,5,2,3,3,194
10832,Apartment,Entire home/apt,2,1.5,1,1,139
12041,Apartment,Private room,2,4,1,2,85
12042,Apartment,Private room,2,3,1,2,85
12522,Apartment,Private room,1,1,1,1,79
12584,Other,Entire home/apt,3,1,2,3,166
14125,Apartment,Entire home/apt,3,1,1,2,215
17132,Other,Entire home/apt,4,2,2,2,450
18904,Other,Private room,2,1,1,1,110
21334,Other,Entire home/apt,2,1,1,1,125
21914,Apartment,Private room,2,4,1,1,65
23611,Other,Private room,1,0.5,1,1,100
23630,House,Entire home/apt,2,1,1,1,155
24450,Apartment,Entire home/apt,3,1,1,2,180
24463,Apartment,Private room,2,1,1,1,155
24723,Other,Entire home/apt,4,1,1,2,195
25094,House,Private room,2,1,1,1,150
25463,Other,Private room,2,1,1,1,110
25662,House,Private room,3,1,0,1,125
25927,House,Private room,2,1.5,1,1,110
26408,Apartment,Entire home/apt,10,2,4,7,450
27025,Apartment,Entire home/apt,2,1,1,1,150
27028,Other,Private room,4,1,1,2,199
29373,House,Entire home/apt,4,2,2,2,220
29557,Apartment,Entire home/apt,4,1,1,2,155
32414,Apartment,Entire home/apt,2,1,1,2,150
39174,Other,Entire home/apt,2,1,1,2,107
39418,Apartment,Entire home/apt,2,1,0,1,94
40138,Apartment,Private room,1,1,1,1,83
41055,House,Entire home/apt,3,1,1,1,159
41172,House,Private room,2,2,1,1,125
41609,Other,Entire home/apt,3,1,1,1,170
42403,Apartment,Entire home/apt,2,1,0,2,85
42408,House,Entire home/apt,2,1,1,2,85
42577,Other,Entire home/apt,3,1,2,2,150
43778,Other,Entire home/apt,3,1,2,2,120
45299,Other,Entire home/apt,2,1,0,2,116
45956,House,Private room,2,3,1,1,125
47486,House,Entire home/apt,2,1,1,1,78
48471,Other,Private room,1,1,1,1,76
51073,Apartment,Private room,2,1,1,1,160
51557,Apartment,Entire home/apt,2,1,1,1,119
52713,Apartment,Private room,1,1,1,1,99
53280,House,Private room,2,1,1,1,90
54518,Other,Entire home/apt,2,1,1,1,210
55632,Apartment,Entire home/apt,4,1,1,2,116
55636,Apartment,Entire home/apt,4,1,1,2,116
57561,Apartment,Entire home/apt,2,1,1,1,175
57676,Apartment,Private room,1,1,1,1,99
58185,House,Entire home/apt,4,2,2,2,350
59381,Other,Private room,4,2,1,1,109
59702,Other,Private room,2,1,1,1,150
62519,Apartment,Private room,1,1,1,1,85
63405,Other,Entire home/apt,2,1,1,1,125
64165,Apartment,Private room,2,2,1,1,90
66119,Apartment,Entire home/apt,2,1,0,1,95
66188,Apartment,Entire home/apt,6,2,3,4,216
68239,Apartment,Entire home/apt,2,1,1,1,326
69410,House,Entire home/apt,2,1,2,2,80
69549,House,Private room,2,1,1,1,46
69553,House,Private room,2,1,1,1,45
69681,Apartment,Entire home/apt,4,2,3,3,185
70139,Apartment,Entire home/apt,3,1,1,1,108
70284,House,Shared room,1,2.5,1,2,30
70753,Other,Shared room,1,1,1,1,45
71645,Other,Private room,2,1,1,1,109
72365,Apartment,Entire home/apt,8,1,1,4,100
72444,Other,Shared room,2,1,1,2,45
72921,Apartment,Entire home/apt,6,1,1,3,95
73011,Apartment,Entire home/apt,2,1,1,1,270
74451,Apartment,Entire home/apt,4,1,0,2,120
74758,House,Private room,2,1,1,1,45
75422,House,Private room,2,1,1,1,40
77175,House,Entire home/apt,2,1,1,1,135
77932,House,Private room,3,1,1,1,57
78651,Apartment,Private room,1,2,1,1,75
80394,Apartment,Entire home/apt,2,1,1,1,140
81158,Other,Entire home/apt,4,1,1,2,83
81256,House,Private room,3,1,1,1,45
81535,Other,Entire home/apt,1,1,1,1,250
82919,House,Private room,2,1,1,1,97
83257,House,Private room,1,1,1,1,90
83553,Apartment,Entire home/apt,2,1,0,1,85
84777,Other,Entire home/apt,2,1,0,1,85
87640,Other,Private room,2,1,1,1,115
91957,Apartment,Entire home/apt,6,1.5,2,3,201
99094,Apartment,Entire home/apt,4,1,2,2,185
102951,House,Shared room,1,2.5,1,1,30
105497,House,Private room,1,1,1,1,85
106025,Apartment,Entire home/apt,2,2,2,2,145
109883,Other,Entire home/apt,4,1,2,2,125
113211,House,Shared room,1,2.5,1,1,30
115242,Other,Entire home/apt,4,1,1,2,125
121065,Apartment,Entire home/apt,2,1,1,1,200
130775,Apartment,Private room,2,4,1,1,65
130805,Apartment,Entire home/apt,2,1,1,1,97
132441,House,Private room,2,1,1,1,69
134015,Other,Entire home/apt,4,1,2,2,275
134193,House,Entire home/apt,6,1.5,3,3,550
137546,House,Private room,2,1,1,1,102
138592,House,Entire home/apt,8,2,4,5,1200
138772,House,Private room,2,1,1,1,150
140568,Apartment,Private room,2,1.5,1,1,90
142177,Other,Entire home/apt,4,1,2,2,399
144043,House,Private room,2,1,1,2,85
147443,Apartment,Entire home/apt,4,1.5,2,4,230
148559,Apartment,Entire home/apt,6,1,2,4,275
148769,Apartment,Entire home/apt,2,1,1,2,115
150848,Other,Private room,2,1,1,1,75
162934,Apartment,Entire home/apt,2,1,1,1,149
164207,House,Private room,2,1,1,1,69
166771,Apartment,Entire home/apt,4,1,1,1,185
174679,Apartment,Private room,2,1,1,1,80
175090,Apartment,Entire home/apt,2,1,0,2,110
175102,Apartment,Entire home/apt,2,1,0,2,135
179876,Other,Private room,1,1,1,1,92
181407,Other,Entire home/apt,2,1,1,1,155
183334,Other,Entire home/apt,4,1,2,2,225
183859,Apartment,Entire home/apt,4,1,2,2,220
187730,Apartment,Private room,1,2,1,1,75
189068,Apartment,Private room,2,1.5,1,1,90
189894,Apartment,Entire home/apt,2,1,1,1,150
191632,Other,Entire home/apt,2,1,1,1,138
201313,Other,Entire home/apt,2,1,1,1,182
206566,House,Shared room,1,2.5,1,1,30
206634,House,Shared room,1,2.5,1,1,30
206637,House,Shared room,1,2.5,1,1,30
207980,House,Entire home/apt,8,1,3,5,295
208727,Apartment,Private room,1,2.5,1,1,85
208831,Other,Entire home/apt,2,1,1,1,165
212265,Other,Entire home/apt,4,2,2,1,178
213854,Apartment,Entire home/apt,6,2,3,3,325
216042,House,Entire home/apt,2,1,1,1,147
216064,House,Private room,2,2,1,2,75
217106,Apartment,Entire home/apt,4,1,0,3,110
218567,Other,Entire home/apt,6,1,1,2,200
221342,Other,Private room,6,2.5,1,1,139
224579,House,Entire home/apt,2,1,1,1,145
225205,Apartment,Private room,2,1,1,1,115
229240,Other,Shared room,3,3,1,3,45
231129,Other,Entire home/apt,10,4,4,4,989
231752,Apartment,Entire home/apt,4,1,1,2,250
232060,Other,Entire home/apt,2,1,1,2,99
238190,Other,Private room,3,2,1,2,99
238204,Other,Entire home/apt,4,1,1,1,135
241235,Other,Shared room,4,0,1,4,45
242477,Other,Entire home/apt,5,1,2,3,225
245339,Other,Entire home/apt,2,1,1,1,138
252867,Other,Entire home/apt,5,1,3,3,280
256148,Other,Private room,2,1,1,1,139
256176,Other,Private room,1,1,1,1,100
258786,House,Private room,2,1,1,1,75
258873,Apartment,Private room,2,1,1,1,89
259621,Other,Shared room,1,1,1,1,45
259622,Other,Shared room,5,2,1,5,45
259919,Apartment,Entire home/apt,2,1,1,2,114
261358,Other,Entire home/apt,2,1,0,1,138
269371,Apartment,Private room,2,1.5,1,1,115
269463,Apartment,Entire home/apt,2,1,1,1,250
271602,Other,Entire home/apt,3,1,1,1,133
271647,Apartment,Shared room,1,1.5,1,2,35
273530,Other,Entire home/apt,4,2,2,2,325
274334,House,Private room,2,1,1,1,89
276072,Apartment,Private room,1,1,1,1,95
277339,Other,Entire home/apt,3,1,1,2,110
279184,Apartment,Entire home/apt,7,2,3,4,575
284117,Other,Entire home/apt,2,1,1,1,105
284766,House,Entire home/apt,2,1,1,1,300
285755,Apartment,Private room,2,2,2,1,145
286311,Other,Entire home/apt,8,2,3,4,475
287907,House,Entire home/apt,5,2,2,3,300
288213,Apartment,Entire home/apt,2,1,1,1,190
292723,House,Private room,2,1,1,1,45
295240,Apartment,Entire home/apt,4,1,1,2,299
295565,House,Private room,1,1,1,1,30
297897,House,Entire home/apt,6,2,2,4,296
298368,Apartment,Entire home/apt,2,1,1,1,160
308885,Apartment,Entire home/apt,4,1,1,2,150
314368,Other,Entire home/apt,5,1,2,2,600
317078,Apartment,Entire home/apt,4,1,1,2,100
317121,Apartment,Entire home/apt,2,1,0,1,90
317951,Apartment,Entire home/apt,3,1,1,1,150
323635,House,Private room,1,1,1,1,48
325478,Apartment,Entire home/apt,4,1,2,2,365
329020,Other,Entire home/apt,2,1,1,1,250
330736,House,Entire home/apt,2,1,1,1,298
334339,Other,Private room,1,1,1,1,99
334886,Other,Private room,3,1,1,1,150
342420,House,Entire home/apt,8,2,4,5,595
348580,Other,Entire home/apt,4,1,1,2,160
348714,Other,Entire home/apt,4,1,1,2,190
350391,House,Private room,2,1,1,1,195
350479,House,Private room,1,1,3,1,79
351881,Apartment,Private room,2,1,1,1,125
351950,House,Private room,2,1,1,2,40
352165,Apartment,Entire home/apt,3,1,1,1,115
353292,Other,Private room,2,0.5,1,1,90
364397,Apartment,Private room,2,1.5,1,1,95
365275,Apartment,Entire home/apt,2,1,0,1,135
374997,Apartment,Entire home/apt,6,1,3,3,549
377569,House,Private room,1,1,1,2,70
379255,House,Entire home/apt,8,3.5,4,5,672
379418,House,Entire home/apt,6,2.5,3,4,390
381217,House,Private room,2,1,1,1,102
392543,Other,Entire home/apt,2,1,1,0,250
394575,Apartment,Entire home/apt,4,1,0,2,149
408471,House,Entire home/apt,6,3,3,3,600
409549,Other,Entire home/apt,4,1.5,2,2,169
413663,Apartment,Entire home/apt,5,2,2,2,189
420160,Apartment,Private room,2,1,1,1,99
423063,Apartment,Entire home/apt,2,1,1,1,289
423300,Other,Entire home/apt,5,1,1,4,122
424846,House,Private room,4,1.5,1,2,132
430692,Apartment,Private room,1,1,1,1,60
431632,Apartment,Entire home/apt,2,1,1,1,140
431862,Apartment,Entire home/apt,2,1,1,1,124
435389,House,Shared room,1,2.5,1,1,30
435390,House,Shared room,1,2.5,1,1,30
435391,House,Shared room,1,2.5,1,1,30
437385,Other,Private room,2,2,1,1,128
438940,Apartment,Private room,2,1.5,1,1,100
438967,Other,Private room,2,1.5,1,1,109
442397,House,Entire home/apt,6,2,2,4,324
443908,House,Private room,2,1.5,1,1,140
444675,Apartment,Entire home/apt,5,2,3,3,190
450992,Apartment,Entire home/apt,7,1,1,5,110
455783,Apartment,Private room,1,1.5,1,1,57
456264,Apartment,Entire home/apt,3,1,2,2,165
456568,House,Private room,2,3,1,1,89
457862,House,Entire home/apt,6,1.5,3,4,425
457986,Other,Entire home/apt,4,2,2,3,225
459990,Other,Entire home/apt,2,1,0,1,148
465723,Apartment,Entire home/apt,2,1,1,2,160
467507,Other,Entire home/apt,2,1,1,1,145
467839,House,Private room,2,1.5,1,2,105
468490,Other,Entire home/apt,12,2.5,4,4,490
468751,Apartment,Entire home/apt,4,1,2,3,280
470686,Other,Private room,2,1,1,1,125
472901,Apartment,Entire home/apt,2,1,0,1,170
474001,House,Shared room,1,2.5,1,1,30
474107,House,Private room,5,1,2,2,90
477122,House,Entire home/apt,5,3,3,2,545
479072,Other,Entire home/apt,2,1,0,1,199
479415,House,Entire home/apt,6,2,3,4,230
482592,House,Entire home/apt,6,1.5,4,4,650
485245,Apartment,Private room,2,1,1,1,75
485286,Apartment,Entire home/apt,4,1,2,2,195
487019,Apartment,Entire home/apt,5,2,3,3,205
487499,Apartment,Entire home/apt,2,1,1,1,125
488297,Other,Private room,6,2,3,3,399
488359,Other,Entire home/apt,2,1,1,1,205
493889,Apartment,Entire home/apt,2,1,1,1,250
496226,Apartment,Entire home/apt,3,1,1,1,170
499096,Apartment,Entire home/apt,2,1,1,1,100
501057,House,Entire home/apt,4,1.5,2,3,295
501770,Apartment,Entire home/apt,2,1,1,1,220
504146,Other,Entire home/apt,2,1,0,1,269
505530,House,Entire home/apt,8,2,4,7,499
505763,Apartment,Entire home/apt,4,1,1,1,200
511991,House,Entire home/apt,8,2,2,3,350
515524,Apartment,Entire home/apt,2,1,1,1,90
516836,House,Private room,2,2,1,1,135
517803,Other,Entire home/apt,4,1.5,2,3,550
522089,Apartment,Entire home/apt,7,1,3,4,425
522273,Apartment,Private room,2,1.5,1,1,70
530857,House,Private room,2,1.5,1,1,100
531151,House,Entire home/apt,8,2.5,4,6,449
533193,House,Private room,2,1,1,1,43
533627,House,Entire home/apt,8,3,3,3,700
545585,Apartment,Private room,2,1,1,1,140
545685,Other,Entire home/apt,2,1,1,1,79
548232,Other,Entire home/apt,7,1,3,4,1195
555596,Other,Entire home/apt,2,1,1,1,129
560440,Apartment,Entire home/apt,3,1,2,2,220
561148,House,Entire home/apt,5,2,3,3,450
561602,House,Private room,3,1,2,2,90
562311,Apartment,Private room,4,2,2,2,103
567239,House,Private room,2,1,1,1,95
568161,House,Private room,1,1,1,1,68
571042,Other,Entire home/apt,6,2.5,3,0,405
575551,Apartment,Private room,3,1,1,2,129
576018,House,Entire home/apt,8,2.5,4,5,1000
581216,Apartment,Entire home/apt,5,1,3,3,139
582335,House,Entire home/apt,8,3.5,4,5,1049
585326,Other,Entire home/apt,2,1,1,1,69
587375,House,Entire home/apt,6,1,2,4,400
589676,House,Private room,2,1,1,1,105
589767,Apartment,Entire home/apt,6,1,2,3,295
591431,House,Entire home/apt,6,2.5,3,3,368
591524,House,Entire home/apt,2,1,1,1,195
592883,House,Private room,2,2,1,1,98
593165,Apartment,Entire home/apt,2,1,1,2,121
594387,House,Entire home/apt,6,2.5,3,3,500
598271,House,Private room,2,2,1,1,121
598579,Apartment,Entire home/apt,2,1,1,1,105
602535,House,Entire home/apt,6,2,3,4,975
604999,Apartment,Shared room,2,1,1,1,79
607500,House,Entire home/apt,6,2.5,3,3,375
616517,Other,Entire home/apt,2,1,1,2,279
622134,Apartment,Entire home/apt,4,1,1,2,175
626349,Other,Entire home/apt,4,1,1,1,123
627358,Apartment,Private room,2,1,1,1,125
631658,House,Private room,4,2,2,2,280
631735,House,Private room,1,1,1,1,49
632303,Apartment,Entire home/apt,2,1,1,1,95
640352,Other,Entire home/apt,15,1,1,1,975
640605,Apartment,Entire home/apt,1,1,1,1,150
640895,Apartment,Entire home/apt,4,1.5,3,3,500
642672,Apartment,Entire home/apt,4,1,1,1,178
643918,Apartment,Private room,2,1,1,1,130
644091,Other,Entire home/apt,2,1,1,1,350
646275,Other,Entire home/apt,2,1,1,1,149
647360,Apartment,Entire home/apt,4,1,1,1,250
648086,House,Private room,2,1,1,1,79
651624,House,Private room,2,1,1,1,85
654279,House,Private room,2,1,1,1,90
655326,Apartment,Entire home/apt,4,2,2,2,199
657121,Other,Entire home/apt,6,2.5,3,3,699
658588,Apartment,Entire home/apt,4,1,1,2,235
658687,House,Entire home/apt,8,2,4,0,565
662754,Apartment,Entire home/apt,2,1.5,2,2,282
664307,Other,Private room,2,1,1,0,85
664315,House,Entire home/apt,6,2,3,2,450
676228,Other,Entire home/apt,4,1,1,2,110
678556,Apartment,Entire home/apt,2,1,1,1,135
680288,Other,Entire home/apt,2,1,1,2,150
699723,Apartment,Entire home/apt,4,2,2,2,395
708731,Other,Private room,2,1,1,2,120
713877,Other,Entire home/apt,5,1,1,2,145
715754,Other,Entire home/apt,4,1,1,1,160
719431,Other,Entire home/apt,2,1,1,1,79
720811,Apartment,Entire home/apt,2,1,1,1,135
725300,House,Private room,6,2,2,2,379
726657,Other,Entire home/apt,4,2,2,2,322
727866,Other,Entire home/apt,2,1,1,1,153
727969,Apartment,Entire home/apt,5,1,1,2,184
728486,Other,Entire home/apt,2,1.5,1,1,175
728585,Other,Entire home/apt,2,1,1,1,139
728884,House,Entire home/apt,7,1,2,3,275
732779,House,Entire home/apt,6,2,3,3,520
734801,Other,Entire home/apt,3,1,1,2,119
734839,Apartment,Entire home/apt,6,1,2,2,185
