id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
958,"Bright, Modern Garden Unit - 1BR/1BTH",1169,Holly,,Western Addition,37.77028,-122.43317,Entire home/apt,161,2,308,10/16/2021,3.57,1,139,42,City Registration Pending
5858,Creative Sanctuary,8904,Philip And Tania,,Bernal Heights,37.74474,-122.42089,Entire home/apt,235,30,111,8/28/2015,0.76,1,365,0,
7918,A Friendly Room - UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76555,-122.45213,Private room,56,32,19,3/6/2020,0.17,9,365,0,
8142,Friendly Room Apt. Style -UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76555,-122.45213,Private room,56,32,8,8/12/2017,0.1,9,365,0,
8339,Historic Alamo Square Victorian,24215,Rosy,,Western Addition,37.77564,-122.43642,Entire home/apt,895,7,28,6/28/2019,0.19,2,364,0,STR-0000264
8739,"Mission Sunshine, with Private Bath",7149,Ivan & Wendy,,Mission,37.7603,-122.42197,Private room,169,13,736,8/4/2021,7.11,2,165,1,STR-0000028
10251,Victorian Suite in Inner Mission,35199,Roman & Sarah,,Mission,37.75831,-122.41386,Entire home/apt,150,30,340,10/9/2021,2.92,1,354,3,STR-0001558
10578,Classic Nob Hill Studio - Roof Deck,37049,Andrew,,Nob Hill,37.79249,-122.41499,Entire home/apt,120,30,18,5/17/2015,0.15,1,356,0,
10820,Haight Buena Vista Park Garden 3BR,38836,Bernat,,Haight Ashbury,37.77025,-122.43836,Entire home/apt,170,30,37,9/8/2018,0.37,29,360,0,
10824,Victorian House in Hayes Valley - 3BED-2BA,38836,Bernat,,Western Addition,37.77424,-122.42441,Entire home/apt,166,30,15,8/18/2019,0.13,29,274,0,
10832,Union Square Modern Loft,38836,Bernat,,Downtown/Civic Center,37.78527,-122.40861,Entire home/apt,116,30,20,11/12/2019,0.31,29,336,0,
12041,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76901,-122.44701,Private room,65,32,6,9/20/2018,0.1,9,365,0,
12042,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76932,-122.44723,Private room,65,32,5,10/18/2015,0.05,9,365,0,
12522,Perfectly located Castro,18431,Brenda,,Castro/Upper Market,37.76237,-122.42992,Private room,79,3,427,2/18/2020,5.87,1,0,0,STR-0000057
18231,Loft-like Apt./Garden (monthly only available),70224,Arlene Helfand,,Noe Valley,37.74916,-122.42971,Entire home/apt,84,30,64,7/31/2021,0.64,1,189,1,
21334,Studio loft on top of Russian Hill,81455,Joe,,Nob Hill,37.7962,-122.41562,Entire home/apt,130,30,121,10/1/2021,2.2,1,338,2,City registration pending
23630,Castro Guest Suite With Continental Breakfast,93257,Daniel,,Castro/Upper Market,37.75818,-122.44153,Entire home/apt,155,3,412,3/17/2020,4.71,1,124,0,STR-0000205
24463,"Potrero Hill ""Nest"" Quiet, Comfy & Convenient",99128,Cathryn,,Potrero Hill,37.75565,-122.40125,Private room,154,2,314,9/19/2021,2.79,2,141,5,STR-0000036
24723,Guest Suite in PacHeights,100800,Cynthia,,Pacific Heights,37.78897,-122.43376,Entire home/apt,190,4,354,11/1/2021,2.65,2,37,22,Pending Application
25094,San Francisco's Luxury Oasis Private Room On Noe,103339,Bruce,,Glen Park,37.74159,-122.43159,Private room,160,5,48,9/14/2021,1.67,1,348,6,STR-0002528
27025,Modernized Edwardian Apartment in the Castro/Eureka Valley,115673,Luis,,Castro/Upper Market,37.76096,-122.43155,Entire home/apt,119,30,133,9/15/2019,1.66,1,93,0,STR-0000128
27028,Secret Mission Garden,7149,Ivan & Wendy,,Mission,37.76005,-122.42208,Private room,185,1,26,11/21/2019,0.34,2,0,0,STR-0000028
29373,Sunny house with garden,126263,Cecilia,,Bernal Heights,37.73871,-122.41167,Entire home/apt,168,4,17,1/21/2020,0.26,2,0,0,STR-0000280
29557,gigi's bed and breakfast,126036,Gigi,,Outer Richmond,37.77885,-122.50534,Entire home/apt,175,2,86,11/1/2021,0.86,1,296,17,STR-0001135
32414,"Cozy, Sunny and Private Space",140251,Lisa,,Bernal Heights,37.74038,-122.41327,Entire home/apt,150,30,94,9/29/2019,1.02,1,336,0,City registration pending
33578,Potrero Hill Garden Lookout,145258,Kepa,,Potrero Hill,37.76451,-122.39643,Entire home/apt,270,1,635,10/29/2021,6.86,2,331,37,STR-0000073
39174,Bette's New Place,127367,Annette,,Mission,37.74918,-122.42478,Entire home/apt,107,30,22,8/13/2021,0.2,14,365,1,
39418,"Comfortable Home Base, Bernal Heights",169184,Therese And Nelson,,Bernal Heights,37.741,-122.42018,Entire home/apt,73,60,22,8/20/2019,0.28,2,1,0,
40092,Cute Private Apt in the hip Mission,172182,Brian & Leah,,Mission,37.7617,-122.41887,Entire home/apt,107,30,100,10/18/2021,0.86,2,244,3,
41055,Quiet Cozy Castro Cottage,178043,Chas,,Castro/Upper Market,37.76123,-122.43326,Entire home/apt,185,3,57,10/31/2021,0.43,1,2,1,City Registration Pending
