id,host_since,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_days_active,time_since_first_review,time_since_last_review
958,7/31/2008,within a few hours,100%,1,1,1,1,Western Addition,Apartment,Entire home/apt,3,1,1,2,170,1,30,2 months ago,1,3,7,92,192,56,7/23/2009,97,10,10,10,10,10,9,1,1,1,0,0,1.6,3958,4+ years,17
7918,6/17/2009,within a few hours,100%,0,10,10,1,Haight Ashbury,Apartment,Private room,2,4,1,1,65,32,60,19 months ago,30,60,90,365,17,0,8/31/2009,85,8,8,9,9,9,8,0,9,0,9,0,0.14,3637,4+ years,923
8142,6/17/2009,within a few hours,100%,0,10,10,1,Haight Ashbury,Apartment,Private room,2,4,1,1,65,32,90,19 months ago,11,41,71,346,8,1,9/8/2014,93,9,9,10,10,9,9,0,9,0,9,0,0.14,3637,4+ years,263
8339,7/2/2009,within an hour,100%,0,2,2,1,Western Addition,House,Entire home/apt,5,1.5,2,2,685,4,1125,2 weeks ago,30,60,90,90,27,1,9/25/2009,97,10,10,10,10,10,9,0,2,2,0,0,0.23,3622,4+ years,295
8739,1/27/2009,within an hour,100%,1,2,2,0,Mission,Other,Private room,3,1,1,2,139,1,14,2 weeks ago,11,38,64,153,672,93,8/1/2009,98,10,10,10,10,10,10,1,2,0,2,0,5.61,3778,4+ years,12
9225,8/4/2009,within an hour,100%,1,1,1,1,Potrero Hill,House,Private room,2,1,1,1,135,1,365,today,9,30,50,321,476,76,10/26/2009,94,10,10,10,10,10,10,0,1,0,1,0,4.07,3589,4+ years,1
10820,9/15/2009,within a few hours,100%,0,43,43,1,Haight Ashbury,Apartment,Entire home/apt,3,1,3,3,177,30,1125,today,0,1,31,306,37,2,10/22/2009,89,9,9,10,9,9,9,0,39,39,0,0,0.32,3547,4+ years,183
10824,9/15/2009,within a few hours,100%,0,43,43,1,Western Addition,Apartment,Entire home/apt,5,2,3,3,194,30,1125,today,0,0,13,288,14,1,3/1/2012,91,10,10,10,9,10,9,0,39,39,0,0,0.16,3547,4+ years,281
10832,9/15/2009,within a few hours,100%,0,43,43,1,Downtown/Civic Center,Apartment,Entire home/apt,2,1.5,1,1,139,30,365,today,0,0,0,244,19,2,2/10/2013,92,10,9,10,10,10,9,0,39,39,0,0,0.25,3547,4+ years,169
12041,6/17/2009,within a few hours,100%,0,10,10,1,Haight Ashbury,Apartment,Private room,2,4,1,2,85,32,60,24 months ago,30,60,90,365,6,1,9/18/2011,80,9,8,9,10,9,7,0,9,0,9,0,0.06,3637,4+ years,255
12042,6/17/2009,within a few hours,100%,0,10,10,1,Haight Ashbury,Apartment,Private room,2,3,1,2,85,32,90,24 months ago,30,60,90,365,5,0,5/6/2013,64,6,6,10,9,9,8,0,9,0,9,0,0.07,3637,4+ years,1323
