id,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_value,reviews_per_month
958,192,97,10,9,2
7918,17,85,8,8,0
8142,8,93,9,9,0
8339,27,97,10,9,0
8739,672,98,10,10,6
9225,476,94,10,10,4
10820,37,89,9,9,0
10824,14,91,10,9,0
10832,19,92,10,9,0
12041,6,80,9,7,0
12042,5,64,6,8,0
12522,398,98,10,10,3
12584,16,95,9,9,0
14125,108,97,10,9,1
17132,14,96,10,9,0
18904,373,97,10,10,4
21334,119,98,10,10,1
21914,14,78,8,7,0
23611,241,98,10,10,2
23630,366,97,10,10,3
24450,229,92,10,9,2
24463,278,97,10,9,3
24723,291,96,10,10,3
25094,29,99,10,10,1
25463,409,98,10,10,4
25662,300,95,10,10,3
25927,78,92,10,9,1
26408,32,90,9,9,0
27025,129,100,10,10,1
27028,25,96,10,9,1
29373,13,97,10,10,0
29557,44,99,10,10,0
32414,93,96,10,9,1
39174,20,96,9,9,0
39418,21,98,10,9,0
40138,136,96,10,9,1
41055,47,93,10,10,0
41172,234,98,10,10,2
41609,13,98,10,10,0
42403,6,93,10,10,0
42408,4,87,9,7,0
42577,2,80,5,8,0
43778,8,56,8,7,0
45299,128,94,10,9,1
45956,112,96,10,10,1
47486,29,97,10,10,0
48471,29,94,10,9,0
51073,151,99,10,10,1
51557,106,98,10,10,1
52713,166,89,9,9,2
53280,133,98,10,10,1
54518,17,89,10,10,0
55632,10,94,10,10,0
55636,27,95,10,9,0
57561,213,92,10,9,2
57676,113,94,9,9,1
58185,1,80,10,8,1
59381,225,96,10,9,2
59702,187,98,10,10,2
62519,36,97,10,10,1
63405,216,93,9,9,2
64165,66,99,10,9,1
66119,97,83,9,8,1
66188,12,96,9,9,0
68239,35,99,10,9,0
69410,52,98,10,9,1
69549,39,91,9,9,0
69553,26,82,8,8,0
69681,7,93,9,8,0
70139,10,98,10,10,0
70284,13,92,9,10,0
70753,368,92,10,10,4
71645,121,98,10,10,3
72365,96,92,8,9,1
72444,367,94,9,9,4
72921,52,89,9,9,1
73011,30,99,10,9,0
74451,18,97,9,9,0
74758,34,86,9,9,0
75422,9,100,9,9,0
77175,366,98,10,10,4
77932,21,81,7,8,0
78651,84,95,9,10,1
80394,13,98,10,10,0
81158,14,93,10,9,0
81256,20,78,8,8,0
81535,14,97,10,9,0
82919,384,91,10,9,4
83257,85,97,10,10,1
83553,7,96,10,9,0
84777,234,95,10,10,2
87640,344,99,10,10,3
91957,95,95,9,9,1
99094,20,98,10,10,20
102951,6,97,10,10,0
105497,3,100,10,10,0
106025,60,99,10,10,1
109883,335,94,10,9,3
113211,14,95,9,9,0
115242,8,97,10,9,0
121065,36,99,10,9,0
130775,10,86,8,8,0
130805,85,98,10,10,1
132441,109,95,10,10,1
134015,69,97,9,9,1
134193,18,94,10,9,0
137546,223,97,10,10,3
138592,26,98,10,9,0
138772,61,99,10,10,1
140568,150,97,10,10,2
142177,182,98,10,10,2
144043,146,93,10,9,2
147443,108,92,10,9,1
148559,19,99,10,10,0
148769,90,82,8,8,2
150848,215,99,10,10,2
162934,220,95,10,10,2
164207,339,97,10,10,4
166771,152,97,10,10,2
174679,23,97,10,10,0
175090,24,87,9,9,0
175102,49,94,10,9,1
179876,18,95,10,8,0
181407,38,99,10,10,0
183334,6,100,10,10,0
183859,221,97,10,10,3
187730,120,96,10,9,1
189068,167,98,10,10,2
189894,36,97,10,10,0
191632,437,97,10,9,5
201313,2,100,10,10,0
206566,9,100,10,10,0
206634,6,97,8,10,0
206637,3,80,8,8,0
207980,355,96,10,9,4
208727,28,96,10,9,0
208831,446,96,10,9,5
212265,11,100,10,10,2
213854,35,96,10,10,0
216042,49,99,10,10,1
216064,90,91,9,9,7
217106,43,94,9,9,0
218567,88,96,10,10,1
221342,180,95,10,9,2
224579,83,98,10,10,1
225205,399,94,10,10,4
229240,331,93,10,9,4
231129,60,88,9,9,1
231752,76,99,10,10,1
232060,113,98,10,9,1
238190,202,97,10,10,2
238204,190,94,10,10,2
241235,306,93,10,9,3
242477,59,97,10,10,1
245339,8,90,10,8,0
252867,21,98,10,10,0
256148,562,98,10,10,6
256176,287,97,10,9,3
258786,16,91,10,9,0
258873,326,88,9,9,4
259621,209,92,9,9,2
259622,200,94,10,10,2
259919,13,90,9,9,0
261358,1,80,10,6,0
269371,171,94,10,9,2
